caldt,vwretd
05/31/2017,0.014552
06/30/2017,0.005798
07/31/2017,0.020696
08/31/2017,0.002238
09/29/2017,0.020050
10/31/2017,0.024158
11/30/2017,0.031389
12/29/2017,0.011149
01/31/2018,0.058060
02/28/2018,-0.037661
03/29/2018,-0.025459
04/30/2018,0.003770
05/31/2018,0.023801
06/29/2018,0.006837
